"","Name","Sex","Occurrence","Year","Prop"
"226","Monica","Female",156,1914,0.000204836773978377
"227","Tina","Female",108,1914,0.000141810074292722
"228","Jessica","Female",42,1914,5.51483622249475e-05
"229","Sandra","Female",40,1914,5.25222497380453e-05
"230","Pamela","Female",13,1914,1.70697311648647e-05
"231","Mary","Female",58187,1915,0.0591420254265886
"232","Rita","Female",3063,1915,0.00311327313457715
"233","Angela","Female",698,1915,0.000709456300337856
"234","Monica","Female",196,1915,0.00019921695539573
"235","Tina","Female",133,1915,0.000135182934018531
"236","Jessica","Female",55,1915,5.59027170753325e-05
"237","Sandra","Female",49,1915,4.98042388489326e-05
"238","Pamela","Female",22,1915,2.2361086830133e-05
"239","Erica","Female",5,1915,5.08206518866659e-06
"240","Mary","Female",61438,1916,0.0588298379637166
"241","Rita","Female",3477,1916,0.0033293946189629
"242","Angela","Female",716,1916,0.000685604413913556
"243","Monica","Female",278,1916,0.000266198361826772
"244","Tina","Female",127,1916,0.000121608604143885
"245","Jessica","Female",53,1916,5.07500473986292e-05
"246","Sandra","Female",43,1916,4.11745667573784e-05
"247","Pamela","Female",12,1916,1.14905767695009e-05
"248","Erica","Female",5,1916,4.78774032062539e-06
"249","Mary","Female",64280,1917,0.0594487762966964
"250","Rita","Female",3870,1917,0.00357913447834809
"251","Angela","Female",742,1917,0.000686231985254336
"252","Monica","Female",252,1917,0.00023305991952034
"253","Tina","Female",137,1917,0.000126703210215423
"254","Sandra","Female",63,1917,5.82649798800851e-05
"255","Jessica","Female",55,1917,5.08662522762648e-05
"256","Pamela","Female",17,1917,1.57222961581182e-05
"257","Erica","Female",5,1917,4.62420475238771e-06
"258","Mary","Female",67365,1918,0.058192118213835
"259","Rita","Female",4447,1918,0.00384146589025346
"260","Angela","Female",721,1918,0.00062282368043012
"261","Monica","Female",223,1918,0.000192634786041493
"262","Tina","Female",128,1918,0.000110570639521575
"263","Sandra","Female",72,1918,6.21959847308858e-05
"264","Jessica","Female",56,1918,4.83746547906889e-05
"265","Pamela","Female",18,1918,1.55489961827214e-05
"266","Mary","Female",65836,1919,0.0582559150955167
"267","Rita","Female",4515,1919,0.00399516156291782
"268","Angela","Female",654,1919,0.000578701143332947
"269","Monica","Female",178,1919,0.000157505815769518
"270","Tina","Female",120,1919,0.000106183696024394
"271","Sandra","Female",86,1919,7.6098315484149e-05
"272","Jessica","Female",40,1919,3.53945653414646e-05
"273","Pamela","Female",22,1919,1.94670109378056e-05
"274","Erica","Female",6,1919,5.3091848012197e-06
"275","Mary","Female",70983,1920,0.059236962035035
"276","Rita","Female",4979,1920,0.00415509113410872
"277","Angela","Female",665,1920,0.000554957944202108
"278","Monica","Female",215,1920,0.000179422493238276
"279","Tina","Female",127,1920,0.000105984449494237
"280","Sandra","Female",112,1920,9.34666011287761e-05
"281","Jessica","Female",43,1920,3.58844986476551e-05
"282","Pamela","Female",27,1920,2.253212705783e-05
"283","Mary","Female",73984,1921,0.0600004217157668
"284","Rita","Female",5157,1921,0.00418228501822299
"285","Angela","Female",671,1921,0.000544175537565954
"286","Monica","Female",247,1921,0.000200314989238138
"287","Tina","Female",126,1921,0.000102184974267228
"288","Sandra","Female",120,1921,9.7319023111646e-05
"289","Jessica","Female",48,1921,3.89276092446584e-05
"290","Pamela","Female",33,1921,2.67627313557027e-05
"291","Mary","Female",72176,1922,0.0600966862559305
"292","Rita","Female",4976,1922,0.00414322088796151
"293","Angela","Female",641,1922,0.000533722787215299
"294","Monica","Female",206,1922,0.000171524015860143
"295","Tina","Female",141,1922,0.000117402360370292
"296","Sandra","Female",97,1922,8.07661628079314e-05
"297","Jessica","Female",40,1922,3.33056341476006e-05
"298","Pamela","Female",38,1922,3.16403524402206e-05
"299","Mary","Female",71635,1923,0.059380522757491
"300","Rita","Female",5095,1923,0.00422340704194063
"301","Angela","Female",666,1923,0.000552068516179089
"302","Monica","Female",199,1923,0.000164957409488947
"303","Tina","Female",150,1923,0.000124339755896191
"304","Sandra","Female",110,1923,9.11824876572069e-05
"305","Jessica","Female",52,1923,4.31044487106796e-05
"306","Pamela","Female",50,1923,4.14465852987304e-05
"307","Mary","Female",73534,1924,0.0588805693480571
"308","Rita","Female",5381,1924,0.00430870541058415
"309","Angela","Female",600,1924,0.000480435466707023
"310","Monica","Female",223,1924,0.000178561848459444
"311","Sandra","Female",145,1924,0.000116105237787531
"312","Tina","Female",143,1924,0.000114503786231841
"313","Pamela","Female",51,1924,4.0837014670097e-05
"314","Jessica","Female",41,1924,3.28297568916466e-05
"315","Erica","Female",5,1924,4.00362888922519e-06
"316","Mary","Female",70586,1925,0.0579816574050116
"317","Rita","Female",5323,1925,0.00437248692895017
"318","Angela","Female",560,1925,0.000460002382155193
"319","Monica","Female",198,1925,0.000162643699404872
"320","Sandra","Female",177,1925,0.000145393610074052
"321","Tina","Female",136,1925,0.00011171486423769
"322","Pamela","Female",75,1925,6.16074618957848e-05
"323","Jessica","Female",34,1925,2.79287160594225e-05
"324","Erica","Female",6,1925,4.92859695166279e-06
"325","Mary","Female",67833,1926,0.0572236736766714
"326","Rita","Female",5015,1926,0.00423063587764815
"327","Angela","Female",572,1926,0.000482537133003937
"328","Monica","Female",190,1926,0.000160283313410399
"329","Sandra","Female",171,1926,0.000144254982069359
"330","Tina","Female",126,1926,0.000106293144682685
"331","Pamela","Female",76,1926,6.41133253641595e-05
"332","Jessica","Female",35,1926,2.95258735229682e-05
"333","Erica","Female",8,1926,6.74877109096415e-06
"334","Mary","Female",70642,1927,0.0592419028993663
"335","Rita","Female",5084,1927,0.00426355191444718
"336","Angela","Female",601,1927,0.000504011546141377
"337","Sandra","Female",207,1927,0.00017359465898713
"338","Monica","Female",189,1927,0.000158499471249118
"339","Tina","Female",151,1927,0.000126631852691095
"340","Pamela","Female",67,1927,5.6187643247042e-05
"341","Jessica","Female",39,1927,3.27062400990244e-05
"342","Erica","Female",12,1927,1.00634584920075e-05
"343","Mary","Female",66872,1928,0.0579823240271322
"344","Rita","Female",4810,1928,0.00417057929433105
"345","Angela","Female",621,1928,0.000538446931762906
"346","Sandra","Female",235,1928,0.000203760111053596
"347","Monica","Female",218,1928,0.000189020017913548
"348","Tina","Female",137,1928,0.000118787809422735
"349","Pamela","Female",100,1928,8.67064302355727e-05
"350","Jessica","Female",36,1928,3.12143148848062e-05
"351","Erica","Female",16,1928,1.38730288376916e-05
"352","Mary","Female",63511,1929,0.0568812614526481
"353","Rita","Female",4767,1929,0.00426938598580991
"354","Angela","Female",676,1929,0.00060543421993025
"355","Sandra","Female",253,1929,0.000226590026098156
"356","Monica","Female",182,1929,0.000163001520750452
"357","Tina","Female",130,1929,0.000116429657678894
"358","Pamela","Female",110,1929,9.8517402651372e-05
"359","Jessica","Female",42,1929,3.76157355577966e-05
"360","Erica","Female",11,1929,9.8517402651372e-06
"361","Mary","Female",64153,1930,0.0569782427008644
"362","Rita","Female",5470,1930,0.00485824493903213
"363","Angela","Female",639,1930,0.00056753537770412
"364","Sandra","Female",298,1930,0.0002646722105725
"365","Monica","Female",168,1930,0.000149211179114698
"366","Tina","Female",143,1930,0.000127007134603582
"367","Pamela","Female",94,1930,8.34872073617954e-05
"368","Jessica","Female",38,1930,3.3750147656896e-05
"369","Mary","Female",60299,1931,0.0566335093728604
"370","Rita","Female",4613,1931,0.00433258227726836
"371","Angela","Female",619,1931,0.000581371868551727
"372","Sandra","Female",453,1931,0.000425462772946579
"373","Monica","Female",192,1931,0.000180328592507159
"374","Tina","Female",108,1931,0.000101434833285277
"375","Pamela","Female",99,1931,9.29819305115039e-05
"376","Jessica","Female",40,1931,3.75684567723248e-05
"377","Erica","Female",10,1931,9.3921141930812e-06
"378","Mary","Female",59881,1932,0.0561136422843156
"379","Rita","Female",4255,1932,0.00398730061154227
"380","Sandra","Female",822,1932,0.000770284630478907
"381","Angela","Female",608,1932,0.000569748242495347
"382","Monica","Female",215,1932,0.000201473473908717
"383","Tina","Female",123,1932,0.000115261568794289
"384","Pamela","Female",96,1932,8.99602488150548e-05
"385","Jessica","Female",44,1932,4.12317807069001e-05
"386","Erica","Female",8,1932,7.49668740125457e-06
"387","Mary","Female",55517,1933,0.0550800499636385
"388","Rita","Female",3841,1933,0.00381076916818876
"389","Sandra","Female",1365,1933,0.00135425668174373
"390","Angela","Female",577,1933,0.000572458685249912
"391","Monica","Female",213,1933,0.000211323570118252
